therapy_code,therapy_title,therapy_concept_id,component_code,component_title,component_concept_id
vrd_lite,VRd-lite,,lenalidomide,Lenalidomide (Revlimid),
vrd_lite,VRd-lite,,vrd_lite_triplet,VRd-lite triplet,
vtd,VTd,35806259,bortezomib_(velcade),Bortezomib (Velcade),
vtd,VTd,35806259,dexamethasone,Dexamethasone,35803008
vtd,VTd,35806259,thalidomide,Thalidomide,35803338
vtd,VTd,35806259,vtd_triplet,VTd triplet,
warfarin_anticoagulant,Warfarin - anticoagulant,,warfarin,Warfarin,35803396
zanubrutinib+rituximab,Zanubrutinib+Rituximab,,rituximab,Rituximab,35803296
zanubrutinib+rituximab,Zanubrutinib+Rituximab,,zanubrutinib,Zanubrutinib,42542411
zanubrutinib_brukinsa_monotherapy,Zanubrutinib (Brukinsa) Monotherapy,,zanubrutinib,Zanubrutinib,42542411
zanubrutinib_obinutuzumab,Zanubrutinib+Obinutuzumab,,obinutuzumab,Obinutuzumab,35803211
zanubrutinib_obinutuzumab,Zanubrutinib+Obinutuzumab,,zanubrutinib,Zanubrutinib,42542411
zoledronic_acid,Zoledronic Acid,,zoledronic_acid,Zoledronic Acid,35803399
