therapy_code,disease,round
docetaxel,C9335,second_line_therapy
docetaxel,C9335,later_line_therapy
paclitaxel,C9335,first_line_therapy
paclitaxel,C9335,second_line_therapy
paclitaxel,C9335,later_line_therapy
gemcitabine,C9335,later_line_therapy
gemcitabine,MCL,second_line_therapy
gemcitabine,MCL,later_line_therapy
vinorelbine,C9335,later_line_therapy
eribulin,C9335,later_line_therapy
capecitabine,C9335,later_line_therapy
megestrol_acetate,C9335,later_line_therapy
tamoxifen,C9335,first_line_therapy
tamoxifen,C9335,later_line_therapy
tamoxifen,C9335,second_line_therapy
elacestrant,C9335,later_line_therapy
capivasertib_fulvestrant,C9335,later_line_therapy
alpelisib_fulvestrant,C9335,later_line_therapy
other_chemotherapy,C9335,second_line_therapy
sacituzumab_govitecan,C9335,later_line_therapy
sacituzumab_govitecan,C9335,second_line_therapy
atezolizumab,C9335,second_line_therapy
exemestane_everolimus,C9335,later_line_therapy
exemestane_everolimus,C9335,second_line_therapy
fulvestrant,C9335,first_line_therapy
fulvestrant,C9335,later_line_therapy
fulvestrant,C9335,second_line_therapy
genomic_testing,C9335,first_line_therapy
pertuzumab_(perjeta),C9335,first_line_therapy
trastuzumab_(herceptin),C9335,first_line_therapy
mastectomy,C9335,later_line_therapy
mastectomy,C9335,second_line_therapy
mastectomy,C9335,first_line_therapy
lumpectomy,C9335,second_line_therapy
lumpectomy,C9335,first_line_therapy
svd,C3242,later_line_therapy
epd,C3242,later_line_therapy
epd,C3242,second_line_therapy
kpd,C3242,second_line_therapy
isa_krd,C3242,first_line_therapy
isa_vrd,C3242,first_line_therapy
krd,C3242,first_line_therapy
agsct,C2987,later_line_therapy
agsct,C3209,later_line_therapy
agsct,MCL,later_line_therapy
agsct,C3242,later_line_therapy
tisagenlecleucel,C3209,later_line_therapy
melphalan,C3242,first_line_therapy
belantamab_mafodotin,C3242,later_line_therapy
cilta_cel,C3242,later_line_therapy
ide_cel,C3242,later_line_therapy
teclistamab,C3242,later_line_therapy
clinical_trials,C9335,later_line_therapy
clinical_trials,C3209,later_line_therapy
clinical_trials,MCL,later_line_therapy
clinical_trials,C3242,later_line_therapy
axi_cil,C3209,later_line_therapy
axi_cil,C3209,second_line_therapy
duvelisib,C2987,later_line_therapy
duvelisib,C3209,later_line_therapy
duvelisib,C3209,second_line_therapy
copanlisib,C3209,later_line_therapy
copanlisib,C3209,second_line_therapy
idelalisib,C3209,later_line_therapy
idelalisib,C3209,second_line_therapy
polatuzumab_vedotin,C3209,later_line_therapy
polatuzumab_vedotin,C3209,second_line_therapy
bendamustine,C3209,second_line_therapy
lr,C3209,second_line_therapy
lr,MCL,first_line_therapy
lr,MCL,later_line_therapy
lr,MCL,second_line_therapy
rituximab,C3209,first_line_therapy
rituximab,C3209,second_line_therapy
rituximab,MCL,first_line_therapy
rituximab,MCL,later_line_therapy
rituximab,MCL,second_line_therapy
obinutuzumab,C2987,first_line_therapy
obinutuzumab,C3209,later_line_therapy
obinutuzumab,C3209,second_line_therapy
obinutuzumab,MCL,second_line_therapy
obinutuzumab,MCL,later_line_therapy
venetoclax,C3242,later_line_therapy
venetoclax,C3242,second_line_therapy
cyclophosphamide,C3242,later_line_therapy
elotuzumab,C3242,second_line_therapy
isatuximab,C3242,later_line_therapy
isatuximab,C3242,second_line_therapy
bortezomib,MCL,later_line_therapy
bortezomib,MCL,second_line_therapy
bortezomib,C3242,second_line_therapy
pomalidomide,C3242,later_line_therapy
pomalidomide,C3242,second_line_therapy
lenalidomide,MCL,later_line_therapy
lenalidomide,C3242,second_line_therapy
carfilzomib,C3242,later_line_therapy
carfilzomib,C3242,second_line_therapy
daratumumab,C3242,later_line_therapy
daratumumab,C3242,second_line_therapy
tazemetostat,C3209,later_line_therapy
tazemetostat,C3209,second_line_therapy
ixazomib,C3242,later_line_therapy
ixazomib,C3242,second_line_therapy
selinexor,C3242,later_line_therapy
selinexor,C3242,second_line_therapy
thalidomide_monotherapy,C3242,later_line_therapy
thalidomide_monotherapy,C3242,second_line_therapy
ldr,C2987,first_line_therapy
ldr,C3209,first_line_therapy
ldr,C3209,later_line_therapy
ldr,C3209,second_line_therapy
other_lbr,C3209,later_line_therapy
other_lbr,C3209,second_line_therapy
other_lbr,C3242,first_line_therapy
other_lbr,C3242,later_line_therapy
other_lbr,C3242,second_line_therapy
other_obr,C3209,first_line_therapy
ifrt_isrt,C3209,first_line_therapy
ifrt_isrt,MCL,first_line_therapy
br,C2987,first_line_therapy
br,C2987,later_line_therapy
br,C2987,second_line_therapy
br,C3209,first_line_therapy
br,C3209,later_line_therapy
br,MCL,first_line_therapy
br,MCL,later_line_therapy
br,MCL,second_line_therapy
r_cvp,C3209,first_line_therapy
r_cvp,MCL,first_line_therapy
r_chop,C3209,first_line_therapy
r_chop,MCL,first_line_therapy
r_chop,MCL,second_line_therapy
asct,C2987,first_line_therapy
asct,C2987,later_line_therapy
asct,C2987,second_line_therapy
asct,C3209,later_line_therapy
asct,C3209,second_line_therapy
asct,MCL,first_line_therapy
asct,MCL,later_line_therapy
asct,MCL,second_line_therapy
asct,C3242,first_line_therapy
asct,C3242,later_line_therapy
asct,C3242,second_line_therapy
cy_bor_d,C3242,first_line_therapy
vrd_lite,C3242,first_line_therapy
dara_rd,C3242,first_line_therapy
dara_vrd,C3242,first_line_therapy
vrd,C3242,first_line_therapy
